                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1178,                0.87237,                0.93069,                0.87849,                0.89542,                0.92469,                 0.7326,                  1.038,                0.66946,                0.88304,              4.287e-05,              4.287e-05,              4.287e-05
                      1,                0.95234,                0.66335,                0.92802,                0.85871,                0.89002,                0.93342,                0.69979,                 1.0842,                0.64264,                0.88927,             9.5079e-05,             9.5079e-05,             9.5079e-05
                      2,                0.94573,                 0.5521,                0.90249,                0.90898,                0.87706,                0.93312,                0.72095,                 1.0273,                0.62548,                0.88814,             0.00014163,             0.00014163,             0.00014163
                      3,                0.97932,                0.63288,                0.96663,                0.85748,                0.86561,                0.91413,                0.68391,                 1.0591,                 0.6696,                0.89114,             0.00018252,             0.00018252,             0.00018252
                      4,                  1.016,                0.64239,                0.92756,                0.89993,                0.89243,                0.92647,                0.70441,                 1.0728,                0.64177,                0.90202,             0.00021775,             0.00021775,             0.00021775
                      5,                0.99658,                0.64051,                0.96689,                0.89999,                0.88377,                0.92322,                 0.7088,                 1.1082,                 0.7172,                0.90827,             0.00024732,             0.00024732,             0.00024732
                      6,                 1.0436,                0.60997,                0.93603,                0.87534,                0.88254,                0.92142,                0.70467,                 1.0771,                0.73629,                0.89847,             0.00027124,             0.00027124,             0.00027124
                      7,                 1.0968,                0.67196,                0.91253,                0.83632,                 0.8635,                0.91979,                0.70737,                 1.0544,                0.68057,                0.89307,             0.00028949,             0.00028949,             0.00028949
                      8,                 1.0386,                0.66889,                 0.9201,                0.79384,                0.85311,                0.92318,                 0.6971,                  1.038,                0.67172,                0.88755,             0.00030209,             0.00030209,             0.00030209
                      9,                  1.018,                0.64428,                0.94552,                0.81236,                 0.8557,                0.92992,                0.69956,                  1.085,                0.66033,                0.89578,             0.00030903,             0.00030903,             0.00030903
                     10,                 1.1023,                0.69896,                0.92125,                0.83576,                0.87448,                0.93645,                0.70743,                 1.0297,                0.61684,                0.88956,             0.00031031,             0.00031031,             0.00031031
                     11,                 1.0267,                0.66517,                0.90902,                0.89608,                0.84457,                 0.9255,                0.70661,                 1.0106,                0.60735,                0.87568,             0.00030593,             0.00030593,             0.00030593
                     12,                 1.0225,                0.64319,                0.90213,                0.87817,                 0.9013,                0.94084,                  0.733,                0.97994,                0.59948,                0.86936,             0.00029589,             0.00029589,             0.00029589
                     13,                  1.018,                0.62926,                 0.9393,                0.88733,                0.88288,                0.94528,                0.74625,                0.98243,                0.60823,                0.86756,             0.00028019,             0.00028019,             0.00028019
                     14,                0.92262,                0.57803,                0.95221,                0.91047,                0.85784,                0.94688,                0.74599,                0.97418,                0.61251,                0.86792,             0.00025883,             0.00025883,             0.00025883
                     15,                 1.0864,                0.62249,                0.92009,                0.89889,                0.87329,                0.94383,                0.75107,                0.95093,                0.60329,                0.86308,             0.00023182,             0.00023182,             0.00023182
                     16,                 1.1159,                0.64101,                 1.0224,                0.88835,                0.89756,                0.94625,                0.75205,                 0.9475,                0.58713,                0.86042,             0.00019915,             0.00019915,             0.00019915
                     17,                 1.0163,                0.59808,                0.91053,                0.89979,                0.91593,                0.94588,                 0.7577,                0.94604,                0.56475,                0.85903,             0.00016081,             0.00016081,             0.00016081
                     18,                0.99592,                0.57747,                 0.8751,                0.89957,                0.91889,                0.94613,                0.76708,                 0.9293,                0.55531,                0.85608,             0.00011682,             0.00011682,             0.00011682
                     19,                 0.9704,                0.53854,                0.91268,                0.89544,                0.92415,                0.94677,                0.77282,                0.91103,                 0.5484,                0.85169,              6.717e-05,              6.717e-05,              6.717e-05
