                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.41979,                0.43663,                0.86116,                0.99287,                      1,                  0.995,                 0.7357,                 1.1471,                0.60095,                  1.237,                  6e-05,                  6e-05,                  6e-05
                      1,                0.40298,                0.38729,                0.85179,                0.85199,                      1,                0.97214,                 0.7239,                 1.1319,                0.72178,                 1.2446,             0.00013307,             0.00013307,             0.00013307
                      2,                0.41171,                0.35918,                0.83431,                0.98269,                      1,                  0.995,                 0.6927,                 1.1499,                0.71672,                 1.3333,             0.00019822,             0.00019822,             0.00019822
                      3,                0.39247,                0.39474,                 0.8303,                      1,                0.98383,                  0.995,                0.70718,                  1.054,                0.56863,                 1.2014,             0.00025545,             0.00025545,             0.00025545
                      4,                0.38429,                0.36176,                0.82528,                      1,                0.95632,                  0.995,                0.74812,                 1.0324,                0.54784,                 1.1723,             0.00030476,             0.00030476,             0.00030476
                      5,                0.40325,                0.38535,                0.84971,                      1,                0.94974,                  0.995,                0.73228,                 1.0703,                0.60862,                 1.2136,             0.00034615,             0.00034615,             0.00034615
                      6,                0.40167,                0.37429,                0.85436,                      1,                0.99481,                  0.995,                0.67016,                 1.1502,                0.67902,                 1.3037,             0.00037962,             0.00037962,             0.00037962
                      7,                0.38885,                0.38131,                0.85858,                 0.9877,                      1,                  0.995,                0.67016,                   1.34,                0.66891,                 1.4772,             0.00040517,             0.00040517,             0.00040517
                      8,                0.37734,                0.36584,                0.83754,                0.93992,                0.83333,                0.84912,                0.59735,                 1.4188,                0.67407,                 1.6358,              0.0004228,              0.0004228,              0.0004228
                      9,                0.44658,                0.38901,                0.87439,                 0.8251,                0.83333,                0.81524,                0.57714,                  1.458,                0.72626,                 1.7253,             0.00043251,             0.00043251,             0.00043251
                     10,                0.33984,                0.40515,                0.80544,                 0.9906,                      1,                  0.995,                0.63954,                 1.2164,                0.74266,                 1.3854,              0.0004343,              0.0004343,              0.0004343
                     11,                0.32319,                 0.3688,                0.80102,                0.98917,                      1,                  0.995,                 0.7094,                 1.1734,                0.68856,                 1.3537,             0.00042817,             0.00042817,             0.00042817
                     12,                 0.3448,                0.38926,                0.81586,                0.99145,                      1,                  0.995,                0.67835,                 1.2111,                0.62561,                 1.4053,             0.00041412,             0.00041412,             0.00041412
                     13,                0.36066,                0.38061,                0.82213,                0.99143,                      1,                  0.995,                0.63147,                 1.2961,                  0.643,                 1.5313,             0.00039215,             0.00039215,             0.00039215
                     14,                0.34533,                0.38167,                0.83284,                0.98523,                      1,                  0.995,                0.58581,                 1.3813,                0.68778,                 1.7093,             0.00036226,             0.00036226,             0.00036226
                     15,                0.33858,                0.37901,                0.79101,                0.85188,                      1,                0.94786,                0.56717,                 1.4109,                0.71945,                 1.7367,             0.00032445,             0.00032445,             0.00032445
                     16,                0.36001,                0.37302,                0.85417,                0.82567,                0.83333,                0.92667,                0.56244,                 1.4544,                0.71549,                 1.7479,             0.00027872,             0.00027872,             0.00027872
                     17,                0.32955,                0.34463,                0.76637,                 0.9924,                      1,                  0.995,                0.53925,                 1.6168,                0.67674,                 1.9331,             0.00022507,             0.00022507,             0.00022507
                     18,                0.32291,                0.33333,                0.81908,                0.99286,                      1,                  0.995,                0.52442,                 1.6725,                0.64477,                 2.0182,              0.0001635,              0.0001635,              0.0001635
                     19,                0.33291,                0.34594,                0.79165,                0.99284,                      1,                  0.995,                0.52046,                 1.6551,                0.65991,                 2.0047,              9.401e-05,              9.401e-05,              9.401e-05
