                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.87248,                 1.1862,                0.99446,                      1,                0.41327,                0.42816,                0.25754,                 1.7829,                 1.4034,                 1.3166,                0.00022,                0.00022,                0.00022
                      1,                0.94247,                 1.0858,                 0.9675,                0.79405,                0.40696,                0.40484,                0.21261,                 2.2955,                 2.6836,                 2.0005,             0.00045772,             0.00045772,             0.00045772
                      2,                 1.0288,                0.97126,                0.97578,                 0.6831,                0.56783,                 0.6206,                0.30469,                 1.8525,                  1.341,                 1.3691,             0.00069307,             0.00069307,             0.00069307
                      3,                 1.1131,                 0.9606,                0.97328,                0.77003,                0.42105,                0.51581,                0.24924,                 2.2232,                 1.3717,                  1.838,             0.00092604,             0.00092604,             0.00092604
                      4,                0.96942,                0.84437,                0.96424,                0.67596,                0.52632,                0.60268,                0.22993,                 2.2171,                 1.6534,                 1.6549,              0.0011566,              0.0011566,              0.0011566
                      5,                 1.1344,                0.90468,                0.95422,                0.76763,                0.42105,                0.46764,                0.20321,                 2.0971,                 1.4686,                 1.6181,              0.0013849,              0.0013849,              0.0013849
                      6,                 1.2082,                 0.9553,                0.99253,                0.88631,                0.41129,                0.56025,                0.23225,                   2.11,                 1.4859,                 1.7308,              0.0016107,              0.0016107,              0.0016107
                      7,                 1.0436,                0.77602,                0.96451,                0.95699,                0.52632,                0.66311,                0.27726,                  2.089,                 1.4157,                 1.6315,              0.0018342,              0.0018342,              0.0018342
                      8,                0.95367,                0.74116,                0.95383,                0.78328,                0.63158,                0.72484,                0.28389,                 2.1531,                 1.0424,                 1.7201,              0.0019208,              0.0019208,              0.0019208
                      9,                 1.1331,                0.82466,                0.98967,                0.97832,                0.47368,                 0.6631,                0.33135,                 1.8323,                 1.2099,                 1.4575,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.0804,                0.80395,                0.98881,                0.66155,                0.72068,                0.67938,                0.31822,                 1.7016,                 1.3697,                 1.4869,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.0238,                0.75045,                0.94541,                 0.8431,                0.36842,                0.48938,                0.21618,                 1.9086,                 1.3837,                 1.5292,               0.001901,               0.001901,               0.001901
                     12,                 1.0067,                0.72346,                0.97734,                0.91534,                0.56972,                0.67646,                0.29715,                 1.9117,                 1.3608,                 1.4488,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.0378,                0.78796,                0.97324,                0.79786,                0.68421,                0.68096,                0.33289,                 1.8571,                 1.4398,                 1.3656,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.0588,                0.74503,                0.94846,                0.90467,                0.52632,                0.61445,                0.32673,                  1.899,                 1.2801,                 1.5605,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.0214,                0.74383,                0.98422,                 0.8746,                0.73432,                0.73598,                0.37169,                 1.6997,                 1.3211,                 1.2892,              0.0018614,              0.0018614,              0.0018614
                     16,                0.96069,                0.67786,                0.93279,                0.92077,                0.61266,                0.69531,                0.33079,                 1.7963,                  1.771,                 1.5268,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.0212,                 0.6899,                0.95734,                0.70665,                0.50804,                0.53747,                 0.2378,                 2.0249,                 1.9354,                 1.7265,              0.0018416,              0.0018416,              0.0018416
                     18,                0.95856,                0.67418,                0.92838,                0.90732,                0.57895,                0.70636,                0.26714,                 2.1594,                 1.5744,                 1.8379,              0.0018317,              0.0018317,              0.0018317
                     19,                0.95138,                0.71131,                0.94741,                0.98609,                0.63158,                0.71044,                0.30518,                 2.1812,                 1.1335,                 1.9443,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.0086,                0.69595,                0.99165,                0.91195,                0.68421,                0.75653,                0.32821,                 2.0109,                 1.0843,                 1.7282,              0.0018119,              0.0018119,              0.0018119
                     21,                0.89634,                0.68432,                0.92153,                0.99368,                0.68421,                0.70352,                0.31955,                 2.0378,                 1.1094,                 1.6182,               0.001802,               0.001802,               0.001802
                     22,                 1.0091,                0.72489,                0.96336,                0.69705,                0.73684,                0.66554,                0.29205,                 2.1136,                 1.2393,                 1.6187,              0.0017921,              0.0017921,              0.0017921
                     23,                   0.93,                0.66204,                0.98589,                0.70239,                0.74565,                0.71163,                0.25001,                 2.3806,                 1.2192,                   1.66,              0.0017822,              0.0017822,              0.0017822
                     24,                0.92607,                0.61813,                0.95595,                0.72128,                0.78947,                0.72806,                0.31742,                 2.1744,                 1.3195,                  1.548,              0.0017723,              0.0017723,              0.0017723
