                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1687,                 1.3069,                 1.0197,                0.58317,                 0.7037,                0.72177,                0.53382,                 1.1605,                 1.1139,                0.93174,              2.858e-05,              2.858e-05,              2.858e-05
                      1,                 1.2364,                 1.1182,                 1.0664,                0.56195,                  0.809,                0.80234,                0.56671,                 1.2051,                 1.2013,                 0.9392,             6.7913e-05,             6.7913e-05,             6.7913e-05
                      2,                 1.1808,                0.96397,                0.99637,                 0.5853,                0.78654,                0.83911,                0.61545,                 1.1463,                 1.0645,                0.91292,               0.000103,               0.000103,               0.000103
                      3,                  1.123,                0.83963,                 0.9642,                0.69946,                0.78578,                0.83082,                0.56558,                 1.1722,                  1.295,                0.91829,             0.00013385,             0.00013385,             0.00013385
                      4,                 1.1525,                 1.2014,                 1.0007,                0.66387,                0.85115,                0.80283,                0.54693,                 1.1948,                 1.1796,                0.92974,             0.00016045,             0.00016045,             0.00016045
                      5,                 1.1968,                0.95254,                 1.0156,                0.56264,                0.81916,                0.81227,                0.56748,                 1.1601,                 1.0682,                0.92895,              0.0001828,              0.0001828,              0.0001828
                      6,                 1.1135,                0.88962,                 1.0144,                0.60568,                0.84458,                  0.838,                0.58085,                 1.1321,                 1.1062,                0.91932,             0.00020092,             0.00020092,             0.00020092
                      7,                  1.115,                0.84361,                0.97866,                0.75956,                0.75728,                0.85604,                0.60002,                  1.111,                 1.1133,                0.91033,             0.00021479,             0.00021479,             0.00021479
                      8,                 1.1254,                 0.8995,                  1.044,                0.60145,                0.87135,                0.83421,                0.56759,                  1.129,                 1.0923,                0.91269,             0.00022441,             0.00022441,             0.00022441
                      9,                 1.0544,                0.81416,                0.98648,                0.63447,                0.87074,                0.84699,                0.61223,                 1.0734,                 1.0501,                0.90064,             0.00022979,             0.00022979,             0.00022979
                     10,                 1.0779,                0.93871,                0.97114,                0.47834,                0.87263,                0.75886,                0.56462,                 1.0444,                0.96704,                0.89289,             0.00023093,             0.00023093,             0.00023093
                     11,                 1.0065,                0.87485,                0.97199,                 0.4177,                0.82539,                0.45703,                0.32909,                 1.0227,                 1.6556,                0.88886,             0.00022782,             0.00022782,             0.00022782
                     12,                 1.1545,                0.88047,                0.97807,                0.46469,                0.66204,                0.47881,                0.34632,                 1.0295,                 1.1038,                0.89608,             0.00022047,             0.00022047,             0.00022047
                     13,                 1.1266,                0.94339,                 1.0107,                0.67022,                0.80212,                0.72065,                0.49427,                 1.0366,                 1.1203,                0.89881,             0.00020887,             0.00020887,             0.00020887
                     14,                 1.0769,                0.84285,                0.99791,                0.55634,                0.83183,                0.64228,                 0.4438,                 1.0576,                  1.746,                0.90709,             0.00019303,             0.00019303,             0.00019303
                     15,                  1.055,                0.84818,                0.97083,                0.56209,                0.79849,                0.66807,                 0.4957,                 1.0246,                 1.3908,                0.89432,             0.00017294,             0.00017294,             0.00017294
                     16,                 1.0877,                0.92771,                0.95681,                0.66793,                0.81143,                0.77794,                0.61081,                 1.0093,                0.94498,                0.88519,             0.00014862,             0.00014862,             0.00014862
                     17,                 1.0082,                0.77445,                0.97453,                0.69912,                0.88982,                0.84663,                0.66503,                0.97225,                0.83268,                0.87557,             0.00012004,             0.00012004,             0.00012004
                     18,                 1.0412,                0.95923,                0.99119,                0.76783,                0.88895,                0.85473,                0.66796,                0.94995,                0.78744,                0.87018,             8.7226e-05,             8.7226e-05,             8.7226e-05
                     19,                 1.0055,                0.73236,                0.91697,                0.76777,                0.90914,                0.85337,                0.66869,                  0.934,                0.77489,                0.86646,             5.0165e-05,             5.0165e-05,             5.0165e-05
