                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.4397,                0.42767,                0.86177,                 0.9849,                0.54545,                0.54672,                0.34858,                 1.2374,                0.71297,                 1.4306,                 0.0001,                 0.0001,                 0.0001
                      1,                0.44666,                0.44882,                 0.8797,                0.98698,                0.54545,                0.54653,                 0.3826,                  1.368,                0.80029,                 1.4365,             0.00020911,             0.00020911,             0.00020911
                      2,                 0.4402,                0.49344,                0.84751,                0.98762,                0.54545,                0.54759,                0.37784,                 1.5616,                 0.9237,                 1.4568,             0.00030634,             0.00030634,             0.00030634
