                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.60782,                0.48644,                 0.8565,                0.87282,                0.78947,                0.82275,                0.43875,                 1.7723,                0.86183,                  1.491,                0.00022,                0.00022,                0.00022
                      1,                0.53744,                 0.3896,                0.83294,                 0.9832,                0.68421,                0.79554,                0.38802,                 1.8644,                0.90713,                 1.5427,             0.00045545,             0.00045545,             0.00045545
                      2,                0.61429,                0.48465,                0.86246,                0.99196,                0.73684,                0.87676,                0.48307,                 1.6673,                0.90641,                 1.3181,             0.00068614,             0.00068614,             0.00068614
                      3,                 0.6135,                0.42861,                0.85856,                      1,                0.89086,                0.89875,                0.42365,                 1.7963,                0.80943,                 1.4725,             0.00091208,             0.00091208,             0.00091208
                      4,                0.67146,                0.45622,                0.84996,                      1,                 0.8846,                0.90005,                0.48008,                 1.6595,                0.82725,                 1.3043,              0.0011333,              0.0011333,              0.0011333
                      5,                0.71069,                0.49146,                0.87134,                 0.9872,                0.78947,                 0.8772,                0.43928,                 1.6471,                0.92541,                 1.2404,              0.0013497,              0.0013497,              0.0013497
                      6,                0.69963,                0.45075,                0.87697,                 0.9881,                0.73684,                0.85975,                0.46217,                 1.6454,                0.90804,                 1.3619,              0.0015614,              0.0015614,              0.0015614
                      7,                0.66601,                0.45296,                0.87405,                0.98249,                0.78947,                 0.8301,                0.40155,                 1.6329,                0.99793,                 1.3388,              0.0017683,              0.0017683,              0.0017683
                      8,                0.68565,                0.46021,                0.86993,                0.93623,                0.84211,                0.86587,                0.46134,                 1.6602,                0.88438,                 1.3185,              0.0018416,              0.0018416,              0.0018416
                      9,                0.68454,                0.48254,                0.87432,                0.93618,                0.77279,                0.83559,                0.42171,                 1.7629,                 1.0039,                 1.3972,              0.0018416,              0.0018416,              0.0018416
                     10,                0.71508,                0.48252,                0.89337,                 0.8627,                0.66231,                0.75635,                0.36439,                 2.0941,                 1.3304,                  1.691,              0.0018218,              0.0018218,              0.0018218
                     11,                 0.6502,                  0.444,                0.87718,                0.85081,                0.73684,                0.80372,                0.38251,                 1.9249,                 1.0996,                 1.5434,               0.001802,               0.001802,               0.001802
                     12,                0.74293,                0.46794,                0.86383,                0.91976,                0.73684,                0.79037,                 0.3673,                 1.9747,                 1.1316,                 1.6025,              0.0017822,              0.0017822,              0.0017822
                     13,                0.77425,                0.53054,                0.91048,                0.87127,                0.73684,                0.79228,                0.38495,                 2.0256,                 1.1876,                  1.559,              0.0017624,              0.0017624,              0.0017624
                     14,                0.77993,                0.50547,                0.89027,                0.83056,                0.77461,                0.82828,                0.41931,                 1.7394,                 1.0327,                 1.3795,              0.0017426,              0.0017426,              0.0017426
                     15,                 0.8059,                0.50354,                0.89442,                 0.9074,                0.73684,                  0.806,                0.41283,                  1.794,                 1.1308,                 1.4295,              0.0017228,              0.0017228,              0.0017228
