                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2167,                 1.1176,                 1.0462,                0.72902,                0.69278,                   0.74,                0.50686,                 1.1937,                 1.0475,                 1.0232,              4.287e-05,              4.287e-05,              4.287e-05
                      1,                 1.1383,                0.91721,                 1.0241,                0.70945,                0.77028,                0.78266,                 0.5527,                 1.2097,                0.98187,                0.98131,             9.5079e-05,             9.5079e-05,             9.5079e-05
                      2,                 1.1317,                0.79221,                0.99745,                0.74307,                0.76018,                0.78365,                0.53129,                 1.1862,                 1.0674,                0.97005,             0.00014163,             0.00014163,             0.00014163
                      3,                 1.2216,                0.96509,                 1.0487,                0.69494,                0.78448,                0.82426,                0.56794,                 1.1458,                0.89362,                0.94966,             0.00018252,             0.00018252,             0.00018252
                      4,                  1.199,                0.88752,                0.99206,                0.71767,                 0.8335,                0.83821,                0.58817,                 1.1499,                0.92448,                0.95072,             0.00021775,             0.00021775,             0.00021775
                      5,                 1.1435,                 0.9072,                 1.0318,                0.73612,                0.82442,                0.82771,                0.56994,                 1.1697,                0.94282,                0.94579,             0.00024732,             0.00024732,             0.00024732
                      6,                 1.1975,                 0.7717,                0.98818,                0.79304,                0.81191,                0.83189,                0.60086,                 1.1313,                0.92413,                0.93633,             0.00027124,             0.00027124,             0.00027124
                      7,                 1.1996,                0.80269,                0.95602,                0.80261,                0.82894,                0.83786,                0.61079,                 1.1194,                0.84909,                0.93271,             0.00028949,             0.00028949,             0.00028949
                      8,                 1.1321,                0.80501,                0.94963,                0.80689,                0.80472,                0.84825,                0.61287,                 1.1835,                0.84872,                0.93732,             0.00030209,             0.00030209,             0.00030209
                      9,                 1.2059,                 0.8099,                 1.0201,                 0.7646,                0.83389,                 0.8584,                0.63443,                 1.1763,                0.81062,                0.93775,             0.00030903,             0.00030903,             0.00030903
                     10,                 1.1999,                0.81731,                 0.9609,                0.79717,                 0.8622,                0.87706,                0.65359,                 1.1136,                0.83057,                0.92702,             0.00031031,             0.00031031,             0.00031031
                     11,                  1.176,                0.80008,                0.94827,                0.77407,                0.82252,                0.87483,                0.62416,                 1.1834,                0.81963,                0.95162,             0.00030593,             0.00030593,             0.00030593
                     12,                 1.1587,                0.78499,                0.93601,                0.78525,                0.82166,                0.87748,                0.62485,                 1.1616,                0.82208,                0.95767,             0.00029589,             0.00029589,             0.00029589
                     13,                  1.093,                0.77134,                0.95772,                0.72616,                0.87358,                0.89447,                0.65156,                 1.1612,                 0.8474,                0.95757,             0.00028019,             0.00028019,             0.00028019
                     14,                 1.0492,                0.72922,                 1.0178,                0.71634,                0.83848,                0.90726,                0.68989,                 1.1251,                0.84626,                0.93081,             0.00025883,             0.00025883,             0.00025883
                     15,                 1.1466,                0.77711,                 0.9526,                0.82806,                0.79508,                0.91295,                 0.7099,                 1.0815,                0.81136,                0.91514,             0.00023182,             0.00023182,             0.00023182
                     16,                 1.2069,                0.76998,                 1.0715,                0.78342,                0.90037,                0.91058,                0.71724,                 1.0489,                0.76496,                0.90348,             0.00019915,             0.00019915,             0.00019915
                     17,                 1.0955,                0.73381,                0.94563,                0.80912,                0.92077,                0.90117,                0.71588,                 1.0437,                0.71994,                0.89733,             0.00016081,             0.00016081,             0.00016081
                     18,                 1.0989,                0.69396,                0.90008,                 0.8369,                0.91526,                0.90365,                0.71951,                 1.0316,                0.70693,                0.89179,             0.00011682,             0.00011682,             0.00011682
                     19,                 1.0731,                0.65694,                   0.95,                0.84746,                0.91123,                0.90512,                0.72617,                 1.0187,                0.69662,                0.88684,              6.717e-05,              6.717e-05,              6.717e-05
