                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3074,                 4.6608,                 1.6148,                0.52777,                0.33333,                  0.199,                0.14726,                   1.46,                 4.4446,                 1.3637,              2.858e-05,              2.858e-05,              2.858e-05
                      1,                0.85342,                 8.9149,                 0.8978,                 0.9538,                0.22222,                0.22239,                0.20015,                 1.5448,                 6.7916,                 1.1268,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      2,                 1.2788,                 4.5744,                 1.7101,                 0.6989,                0.26901,                0.18935,                0.14319,                 1.4334,                 7.0634,                 1.0899,             0.00011206,             0.00011206,             0.00011206
                      3,                 1.2543,                   3.13,                 1.4951,                 0.9885,                0.22222,                0.31369,                0.24997,                 1.1778,                 3.2025,                0.97401,             0.00015252,             0.00015252,             0.00015252
                      4,                 1.5041,                 3.0808,                 1.7739,                 0.4848,                0.46784,                0.21075,                0.14132,                  1.092,                 4.0423,                0.91914,             0.00019214,             0.00019214,             0.00019214
                      5,                 1.1684,                 2.6061,                 1.3911,                 0.0794,                0.48538,                0.12342,                0.07471,                 1.3254,                 7.8319,                 1.0682,              0.0002309,              0.0002309,              0.0002309
                      6,                 1.9545,                 2.9709,                 1.9786,                0.55556,                0.22222,                0.28623,                0.23601,                 1.2649,                 15.758,                 1.0413,             0.00026882,             0.00026882,             0.00026882
                      7,                 0.7879,                 4.0709,                0.83166,                0.10938,                0.45029,                0.33697,                0.25789,                  1.292,                 5.1694,                 1.1003,             0.00030589,             0.00030589,             0.00030589
                      8,                0.90821,                 2.5618,                 1.2646,                0.19536,                0.47389,                0.31494,                0.28182,                 1.1904,                  4.212,                 1.3835,             0.00034211,             0.00034211,             0.00034211
                      9,                0.92167,                 2.1608,                 1.3245,                0.28137,                 0.7831,                0.31331,                0.22377,                 1.1696,                  8.438,                 1.0896,             0.00037749,             0.00037749,             0.00037749
                     10,                0.70669,                 3.8242,                0.84222,                0.67226,                0.57664,                0.66254,                0.51791,                 1.1088,                 4.3566,                0.98214,             0.00041201,             0.00041201,             0.00041201
                     11,                 2.0623,                  2.869,                 2.2117,                0.31172,                0.80702,                0.54805,                0.40468,                 1.1671,                 3.5002,                 1.1859,             0.00044568,             0.00044568,             0.00044568
                     12,                 1.9103,                  3.044,                 1.9896,                0.61527,                0.27632,                0.46708,                0.34352,                 1.1623,                 3.7902,                  1.109,             0.00047851,             0.00047851,             0.00047851
                     13,                 1.2109,                 2.2528,                 1.4682,                0.46156,                0.44444,                0.48212,                0.33721,                 1.1648,                 4.1083,                 1.0903,             0.00051049,             0.00051049,             0.00051049
                     14,                 1.0533,                  2.272,                 1.2998,                0.24263,                0.55556,                0.36418,                0.19197,                 1.2553,                 3.0649,                 1.3007,             0.00054161,             0.00054161,             0.00054161
                     15,                0.86096,                 4.1986,                 1.0212,                0.23021,                0.55556,                0.34137,                 0.2047,                 1.2134,                 3.7245,                 1.2435,             0.00057189,             0.00057189,             0.00057189
                     16,                 1.1694,                 2.3332,                 1.4405,                 0.0102,                0.22222,                0.01482,                0.00708,                 1.9772,                 33.471,                 2.8161,             0.00060132,             0.00060132,             0.00060132
                     17,                 1.6125,                 2.4408,                    1.8,                0.00882,                0.18129,                0.00503,                0.00283,                 2.0761,                 652.44,                 17.842,              0.0006299,              0.0006299,              0.0006299
