                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.92064,                0.80678,                0.91681,                0.77195,                0.92303,                 0.8686,                 0.6866,                0.94356,                0.79721,                0.86584,              2.858e-05,              2.858e-05,              2.858e-05
                      1,                0.94242,                0.75424,                0.95319,                0.70288,                0.90129,                0.83168,                0.64063,                 1.0102,                 0.8739,                 0.8767,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      2,                0.91596,                0.64441,                0.90283,                0.70614,                0.92185,                0.84403,                0.66336,                0.95026,                0.81483,                0.86577,             0.00011206,             0.00011206,             0.00011206
                      3,                0.89333,                0.60987,                0.89435,                0.71455,                0.82678,                0.85308,                0.63391,                 1.0314,                0.93678,                0.87994,             0.00015252,             0.00015252,             0.00015252
                      4,                0.95032,                0.81002,                0.92818,                0.70501,                0.90268,                0.87115,                0.66035,                 1.0465,                0.84894,                0.88996,             0.00019214,             0.00019214,             0.00019214
                      5,                0.99412,                0.73341,                0.92848,                0.70787,                0.92971,                0.86375,                0.66687,                 1.0157,                0.78152,                0.88791,              0.0002309,              0.0002309,              0.0002309
                      6,                0.95851,                0.70172,                0.94619,                0.73932,                0.93142,                0.85615,                0.66519,                 1.0093,                0.80502,                0.88899,             0.00026882,             0.00026882,             0.00026882
                      7,                 0.9596,                0.69484,                0.93547,                0.76238,                0.92235,                0.85649,                0.66494,                 1.0082,                0.81062,                0.88518,             0.00030589,             0.00030589,             0.00030589
                      8,                0.96834,                0.69367,                 0.9833,                0.71365,                0.90049,                0.84707,                0.59265,                 1.1559,                0.89185,                 0.9076,             0.00034211,             0.00034211,             0.00034211
                      9,                0.99549,                0.76298,                0.98778,                0.67268,                 0.9375,                0.84347,                0.56508,                 1.1095,                0.89721,                0.90397,             0.00037749,             0.00037749,             0.00037749
                     10,                 1.1235,                 0.8399,                0.98088,                0.78818,                0.86379,                0.90921,                 0.6746,                 1.0231,                0.74435,                0.89019,             0.00041201,             0.00041201,             0.00041201
                     11,                  1.003,                0.70137,                0.94472,                0.72614,                0.81286,                0.86895,                0.63129,                 1.0231,                0.84827,                0.88867,             0.00044568,             0.00044568,             0.00044568
                     12,                0.99671,                0.73879,                0.98551,                0.60127,                0.84074,                0.84637,                0.59943,                 1.1267,                0.95602,                0.91754,             0.00047851,             0.00047851,             0.00047851
                     13,                 1.1506,                0.98315,                0.99519,                0.59234,                0.86312,                0.80674,                0.58311,                 1.0226,                 1.0605,                0.89552,             0.00051049,             0.00051049,             0.00051049
                     14,                 1.0688,                0.72065,                0.97932,                0.74788,                0.71754,                0.82432,                0.57568,                 1.1402,                0.89415,                0.92299,             0.00054161,             0.00054161,             0.00054161
                     15,                 1.0904,                0.85462,                  1.019,                0.66839,                0.80885,                0.82855,                0.57714,                 1.1649,                0.86252,                0.93833,             0.00057189,             0.00057189,             0.00057189
                     16,                 1.1069,                0.96151,                0.98893,                0.63492,                0.81315,                0.80391,                0.57457,                 1.0697,                 1.0141,                0.91418,             0.00060132,             0.00060132,             0.00060132
                     17,                 1.0551,                0.81853,                 1.0118,                0.58472,                0.71496,                0.75755,                0.51623,                 1.0978,                 1.0917,                0.92898,              0.0006299,              0.0006299,              0.0006299
                     18,                 1.1221,                0.92926,                0.99618,                0.59872,                 0.8114,                0.78918,                0.53616,                 1.1207,                  1.076,                0.93674,             0.00065764,             0.00065764,             0.00065764
                     19,                 1.0621,                0.77139,                0.99903,                0.61921,                0.80799,                0.78528,                0.56499,                 1.0549,                 1.0455,                0.91228,             0.00068452,             0.00068452,             0.00068452
                     20,                 1.1249,                0.82225,                0.98386,                0.69752,                0.75401,                0.79956,                0.55921,                 1.0434,                0.92129,                0.91557,             0.00071056,             0.00071056,             0.00071056
                     21,                 1.0331,                0.66006,                0.95809,                0.58241,                0.86276,                0.80343,                0.52078,                 1.0747,                0.95394,                 0.9266,             0.00073574,             0.00073574,             0.00073574
                     22,                 1.0471,                0.64728,                0.95663,                0.61363,                0.83778,                0.81597,                0.54793,                 1.0441,                 1.1529,                0.93082,             0.00076008,             0.00076008,             0.00076008
                     23,                  1.072,                0.79642,                0.99386,                0.68258,                0.75739,                0.74086,                0.50431,                 1.1017,                 1.0489,                0.94102,             0.00078357,             0.00078357,             0.00078357
                     24,                 1.0499,                0.75079,                0.97352,                0.65997,                0.84487,                0.82349,                0.59534,                 1.0208,                0.86579,                0.91247,             0.00080621,             0.00080621,             0.00080621
                     25,                 1.1157,                0.96914,                 1.0033,                0.71892,                0.86067,                0.87666,                0.64487,                 1.0277,                0.90964,                0.89568,               0.000828,               0.000828,               0.000828
                     26,                 1.0734,                0.76117,                0.99165,                0.54688,                 0.7734,                0.68689,                0.48541,                 1.0759,                 1.0798,                0.90443,             0.00084894,             0.00084894,             0.00084894
                     27,                 1.0752,                0.73442,                 0.9438,                 0.5752,                 0.8329,                0.64418,                0.44631,                 1.0792,                 1.2652,                0.89849,             0.00086903,             0.00086903,             0.00086903
                     28,                 1.0351,                 0.7534,                 0.9745,                 0.5752,                 0.8329,                0.64418,                0.44631,                 1.0792,                 1.2652,                0.89849,             0.00088828,             0.00088828,             0.00088828
                     29,                 1.0953,                0.84455,                0.99127,                0.64738,                0.85319,                0.77221,                0.53291,                 1.0038,                 1.3342,                 0.8863,             0.00090667,             0.00090667,             0.00090667
                     30,                 1.0355,                0.73573,                 1.0004,                0.68539,                0.76607,                0.73078,                0.49483,                 1.0545,                0.94739,                0.90306,             0.00092422,             0.00092422,             0.00092422
                     31,                 1.2009,                0.87446,                 1.0149,                0.60607,                0.71704,                0.61486,                0.42142,                 1.0961,                 1.0255,                0.91186,             0.00094092,             0.00094092,             0.00094092
                     32,                 1.0818,                0.72477,                0.96065,                0.60607,                0.71704,                0.61486,                0.42142,                 1.0961,                 1.0255,                0.91186,             0.00095677,             0.00095677,             0.00095677
                     33,                 1.1585,                0.90852,                 1.0716,                0.50694,                 0.5827,                0.55291,                0.37604,                 1.1927,                 1.0735,                0.94373,             0.00096215,             0.00096215,             0.00096215
                     34,                 1.1767,                0.88453,                0.99983,                0.49515,                0.60055,                0.58127,                0.38506,                 1.1802,                 1.0428,                0.96384,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.2061,                0.85577,                 1.0824,                0.51542,                0.64907,                0.58976,                0.36333,                 1.2526,                 1.2254,                0.97332,               0.000948,               0.000948,               0.000948
                     36,                  1.126,                0.81519,                 1.0059,                0.51542,                0.64907,                0.58976,                0.36333,                 1.2526,                 1.2254,                0.97332,             0.00093385,             0.00093385,             0.00093385
                     37,                  1.173,                 0.8577,                 1.0428,                  0.537,                0.81081,                0.61641,                0.37516,                 1.2873,                 1.4833,                0.96347,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.2449,                0.81112,                 1.0537,                0.53698,                0.85899,                0.65614,                0.42632,                 1.1259,                 1.3734,                0.93064,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.0527,                 0.7335,                0.99308,                0.47967,                0.87729,                0.67353,                0.45853,                  1.046,                  2.492,                0.91127,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.2074,                 0.7762,                 1.0535,                0.47967,                0.87729,                0.67353,                0.45853,                  1.046,                  2.492,                0.91127,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.2031,                0.83266,                 1.0251,                 0.5698,                0.83637,                0.65992,                0.46143,                 1.0929,                 1.9758,                0.92501,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.0577,                 0.7037,                0.97775,                0.66677,                0.83987,                0.78003,                0.50997,                 1.1321,                 1.2907,                0.92872,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.0322,                0.69717,                0.95035,                0.63021,                0.80848,                0.76786,                0.50919,                 1.0951,                 1.2075,                0.91602,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.1121,                0.79526,                 1.0888,                0.63021,                0.80848,                0.76786,                0.50919,                 1.0951,                 1.2075,                0.91602,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.0909,                0.81292,                 1.0316,                0.67105,                0.89721,                0.80083,                0.55657,                 1.0391,                 1.0576,                 0.9116,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.0499,                0.75533,                0.99154,                0.69013,                0.84886,                0.82784,                0.56015,                 1.0275,                0.95502,                0.91088,             0.00079238,             0.00079238,             0.00079238
                     47,                0.97402,                0.72513,                 1.0111,                 0.6449,                0.82047,                0.75567,                0.50782,                  1.072,                 1.0303,                0.90373,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.0057,                0.73912,                 0.9596,                 0.6449,                0.82047,                0.75567,                0.50782,                  1.072,                 1.0303,                0.90373,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.0504,                0.77478,                0.99483,                0.59275,                0.75028,                0.74585,                0.54163,                 1.0485,                 1.7401,                0.88841,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.0748,                0.76088,                 1.0052,                0.78604,                0.80686,                0.88641,                0.62446,                 1.0151,                 1.0205,                0.88515,             0.00073579,             0.00073579,             0.00073579
