                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.078,                 1.6968,                 1.2875,                0.73271,                0.63342,                0.75857,                0.57469,                 1.1452,                 1.2772,                0.97339,              2.858e-05,              2.858e-05,              2.858e-05
                      1,                 0.9874,                 1.3362,                 1.1961,                0.76961,                 0.7247,                0.79929,                0.61829,                 1.1417,                 1.2401,                0.97368,             6.7913e-05,             6.7913e-05,             6.7913e-05
                      2,                 1.1862,                 1.3947,                 1.3956,                0.78123,                0.83236,                  0.837,                0.63683,                  1.174,                 1.3761,                0.97305,               0.000103,               0.000103,               0.000103
                      3,                 1.0323,                 1.1564,                 1.1622,                0.60394,                0.82478,                0.83457,                0.60511,                 1.1477,                 1.3391,                0.94397,             0.00013385,             0.00013385,             0.00013385
                      4,                 1.4968,                 2.2136,                 1.6262,                0.56345,                   0.84,                0.60143,                  0.442,                 1.1118,                  1.487,                0.93335,             0.00016045,             0.00016045,             0.00016045
                      5,                 1.0761,                 1.3745,                 1.0924,                0.57096,                0.91966,                0.85923,                 0.6565,                 1.1065,                 1.0476,                 0.9335,              0.0001828,              0.0001828,              0.0001828
                      6,                   1.94,                 1.9496,                  1.878,                0.59168,                0.89822,                0.89733,                0.59916,                 1.1479,                 1.1266,                0.94156,             0.00020092,             0.00020092,             0.00020092
                      7,                0.91354,                 1.1133,                 1.1282,                0.68342,                0.79527,                0.89607,                0.60046,                 1.1479,                 1.0716,                0.95191,             0.00021479,             0.00021479,             0.00021479
                      8,                 1.0184,                 1.1027,                 1.0578,                0.71249,                 0.8358,                0.90542,                 0.5867,                 1.1965,                 1.0805,                0.99537,             0.00022441,             0.00022441,             0.00022441
                      9,                0.94903,                 1.0083,                 1.1014,                0.85434,                0.83045,                0.92287,                0.62596,                 1.1852,                0.93098,                0.99676,             0.00022979,             0.00022979,             0.00022979
                     10,                  1.138,                 1.5307,                 1.1745,                0.68317,                0.70263,                0.77825,                0.52035,                 1.2051,                 1.0711,                0.98958,             0.00023093,             0.00023093,             0.00023093
                     11,                0.91369,                 1.1521,                 1.1211,                0.89862,                0.69096,                0.86555,                0.62136,                 1.1664,                 1.1033,                0.97092,             0.00022782,             0.00022782,             0.00022782
                     12,                 1.2195,                 1.8723,                 1.0679,                0.76662,                0.71103,                0.79925,                 0.5826,                 1.0983,                  1.074,                0.94814,             0.00022047,             0.00022047,             0.00022047
                     13,                 1.1328,                 1.1777,                 1.2783,                0.66409,                0.80129,                0.85341,                0.64356,                 1.0951,                 1.0145,                0.94292,             0.00020887,             0.00020887,             0.00020887
                     14,                 1.0938,                 1.1052,                 1.3283,                0.71839,                0.74032,                0.88435,                0.65278,                 1.1724,                0.98234,                0.95793,             0.00019303,             0.00019303,             0.00019303
                     15,                 1.0788,                 1.3379,                0.94463,                 0.7519,                0.77915,                0.88728,                0.68516,                 1.0828,                0.95678,                 0.9202,             0.00017294,             0.00017294,             0.00017294
                     16,                0.94445,                0.90515,                 1.2455,                0.89465,                0.82489,                0.91843,                0.74986,                0.95541,                0.88064,                  0.884,             0.00014862,             0.00014862,             0.00014862
                     17,                 0.9216,                 0.8421,                 1.2103,                0.83782,                0.89271,                0.93467,                0.78877,                0.93092,                0.82231,                0.87676,             0.00012004,             0.00012004,             0.00012004
                     18,                0.90598,                0.87229,                 1.1136,                0.88474,                0.87777,                0.94055,                0.79753,                0.91733,                0.79662,                0.87275,             8.7226e-05,             8.7226e-05,             8.7226e-05
                     19,                0.82744,                0.77843,                 1.1219,                0.89437,                0.88414,                0.94361,                0.80828,                0.90958,                  0.781,                 0.8716,             5.0165e-05,             5.0165e-05,             5.0165e-05
