                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0233,                0.78223,                0.95359,                0.81469,                0.90567,                0.88925,                0.70446,                0.90131,                0.70702,                0.86219,              2.858e-05,              2.858e-05,              2.858e-05
                      1,                0.97268,                0.80107,                0.96323,                0.73669,                0.92426,                0.89128,                0.70116,                0.93123,                 0.7204,                0.86577,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      2,                0.93639,                0.67332,                 0.9142,                0.68306,                0.82435,                0.76482,                0.56303,                0.91829,                0.77053,                0.86648,             0.00011206,             0.00011206,             0.00011206
                      3,                0.94598,                0.69367,                0.94706,                0.73231,                0.90114,                0.88022,                0.67443,                0.94656,                0.76724,                0.86816,             0.00015252,             0.00015252,             0.00015252
                      4,                0.96001,                0.70769,                0.96514,                0.73234,                0.89966,                0.86787,                0.65462,                0.98965,                0.76408,                0.87246,             0.00019214,             0.00019214,             0.00019214
                      5,                0.97718,                0.76788,                 0.9438,                0.75774,                0.92517,                0.90517,                0.69547,                0.97237,                0.71089,                0.87078,              0.0002309,              0.0002309,              0.0002309
                      6,                0.94488,                0.66125,                0.94935,                 0.7394,                0.88167,                0.85929,                0.64862,                0.97688,                0.78784,                0.87706,             0.00026882,             0.00026882,             0.00026882
                      7,                0.96105,                0.73901,                 0.9558,                0.75417,                 0.8915,                0.86082,                0.63579,                 1.0281,                0.75245,                0.88089,             0.00030589,             0.00030589,             0.00030589
                      8,                0.95776,                0.63326,                0.94784,                0.72735,                  0.903,                0.84952,                0.64691,                0.94188,                0.72509,                0.86202,             0.00034211,             0.00034211,             0.00034211
                      9,                 1.0274,                0.68872,                0.94711,                0.78248,                0.87798,                0.86148,                0.64451,                 0.9814,                0.74136,                0.86786,             0.00037749,             0.00037749,             0.00037749
                     10,                0.97299,                0.73362,                0.96076,                0.74396,                 0.8609,                0.82923,                0.59299,                 1.0863,                0.76611,                0.89097,             0.00041201,             0.00041201,             0.00041201
                     11,                0.95668,                0.66921,                0.96286,                0.80436,                 0.8389,                0.87876,                0.62523,                 1.0528,                0.77583,                0.88474,             0.00044568,             0.00044568,             0.00044568
                     12,                 1.0835,                0.74847,                0.99509,                0.77312,                0.79678,                0.88174,                0.65648,                0.99426,                0.81068,                0.87927,             0.00047851,             0.00047851,             0.00047851
                     13,                 1.0282,                0.72694,                 0.9467,                0.71688,                 0.8687,                 0.8967,                0.68475,                0.99825,                0.86599,                0.87783,             0.00051049,             0.00051049,             0.00051049
                     14,                 1.0209,                 0.7097,                0.98432,                0.70696,                0.78382,                0.82966,                0.59527,                  1.108,                0.89869,                 0.9111,             0.00054161,             0.00054161,             0.00054161
                     15,                 1.1341,                 0.7815,                0.97002,                0.72158,                0.85006,                0.81221,                0.56874,                 1.0994,                0.83504,                0.90856,             0.00057189,             0.00057189,             0.00057189
                     16,                0.99942,                0.74219,                0.96654,                0.75432,                0.82715,                0.85169,                0.57762,                 1.0466,                 0.8255,                0.91101,             0.00060132,             0.00060132,             0.00060132
                     17,                 1.0241,                0.71824,                0.99584,                0.74163,                0.76594,                0.84727,                0.59369,                 1.0541,                0.82807,                0.91086,              0.0006299,              0.0006299,              0.0006299
                     18,                 1.0624,                0.70977,                 1.0089,                0.62395,                0.89557,                0.82411,                 0.5999,                 1.0333,                0.91889,                0.88853,             0.00065764,             0.00065764,             0.00065764
                     19,                 1.1152,                0.71503,                0.98023,                0.67674,                0.77064,                0.80635,                0.58346,                 1.0901,                 1.0003,                0.90674,             0.00068452,             0.00068452,             0.00068452
                     20,                 1.0586,                0.73136,                0.96554,                0.62158,                0.85139,                0.80226,                0.56898,                  1.082,                0.94789,                0.91914,             0.00071056,             0.00071056,             0.00071056
                     21,                 1.0519,                0.70262,                0.94548,                0.71882,                 0.8213,                0.81613,                0.55671,                  1.057,                0.88195,                 0.9038,             0.00073574,             0.00073574,             0.00073574
                     22,                0.98923,                0.67793,                0.95124,                0.74989,                 0.8472,                0.86909,                0.60166,                 1.0137,                0.85685,                0.89261,             0.00076008,             0.00076008,             0.00076008
                     23,                 1.0672,                0.79283,                0.94633,                0.80412,                0.91673,                0.90428,                0.64346,                0.98622,                0.73717,                0.88703,             0.00078357,             0.00078357,             0.00078357
                     24,                0.99836,                0.67801,                0.95713,                0.79189,                 0.8893,                0.91537,                0.67241,                0.95071,                0.75565,                0.87964,             0.00080621,             0.00080621,             0.00080621
                     25,                0.94383,                0.69912,                0.94397,                0.77142,                0.86497,                0.90342,                0.64393,                 1.0035,                0.82316,                0.89832,               0.000828,               0.000828,               0.000828
                     26,                0.95754,                0.73679,                0.94041,                0.71053,                0.85268,                0.88252,                0.64914,                 1.0153,                0.82079,                0.89868,             0.00084894,             0.00084894,             0.00084894
                     27,                0.99317,                0.67863,                0.93616,                0.73065,                0.83227,                0.84296,                  0.638,                0.99442,                 0.7592,                0.88771,             0.00086903,             0.00086903,             0.00086903
                     28,                 1.0209,                0.64833,                0.94172,                0.73065,                0.83227,                0.84296,                  0.638,                0.99442,                 0.7592,                0.88771,             0.00088828,             0.00088828,             0.00088828
                     29,                 1.0343,                0.68153,                0.94673,                0.63401,                0.84849,                0.77816,                0.57378,                0.98226,                0.83753,                0.88418,             0.00090667,             0.00090667,             0.00090667
                     30,                 1.0837,                 0.7265,                0.94372,                 0.7049,                0.75921,                0.81312,                0.61052,                0.98828,                0.83652,                 0.8819,             0.00092422,             0.00092422,             0.00092422
                     31,                 1.0014,                0.69902,                0.96507,                0.77165,                0.86183,                0.87538,                0.66385,                0.98884,                0.78269,                0.87266,             0.00094092,             0.00094092,             0.00094092
                     32,                0.98524,                 0.6317,                0.95617,                0.77165,                0.86183,                0.87538,                0.66385,                0.98884,                0.78269,                0.87266,             0.00095677,             0.00095677,             0.00095677
                     33,                0.96183,                0.69357,                0.92248,                0.69152,                0.82952,                 0.8386,                0.60371,                0.99909,                0.90848,                0.87928,             0.00096215,             0.00096215,             0.00096215
                     34,                0.98506,                0.69451,                0.91762,                0.57196,                0.84708,                0.82584,                0.61286,                 1.0125,                0.92491,                0.88477,             0.00096215,             0.00096215,             0.00096215
                     35,                  1.002,                0.71859,                 0.9739,                0.70169,                0.83591,                0.82616,                 0.6017,                 1.0121,                0.83922,                0.88384,               0.000948,               0.000948,               0.000948
                     36,                 1.0209,                0.68407,                0.94394,                0.70169,                0.83591,                0.82616,                 0.6017,                 1.0121,                0.83922,                0.88384,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.0405,                0.73305,                  0.958,                0.79894,                0.85627,                0.84964,                0.62604,                 1.0354,                 0.7919,                0.89135,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.0501,                 0.7665,                0.93506,                0.78757,                0.86951,                0.88721,                0.65993,                 1.0494,                0.76154,                0.90294,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.0718,                0.72224,                 1.0303,                0.69052,                0.80034,                 0.8191,                0.62096,                 1.0262,                0.81665,                0.88509,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.0888,                0.73077,                0.99176,                0.69052,                0.80034,                 0.8191,                0.62096,                 1.0262,                0.81665,                0.88509,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.1858,                0.80592,                 1.0098,                 0.6869,                0.76364,                 0.7792,                0.54151,                  1.035,                0.86254,                0.88134,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.0558,                0.74951,                0.97385,                0.71593,                0.79709,                 0.8223,                0.57455,                 1.0048,                0.85069,                0.88369,             0.00084897,             0.00084897,             0.00084897
                     43,                   1.03,                0.70874,                0.96999,                0.75721,                0.87292,                 0.8694,                0.61348,                 1.0199,                0.84616,                0.87879,             0.00083482,             0.00083482,             0.00083482
                     44,                0.97211,                0.66643,                0.98395,                0.75721,                0.87292,                 0.8694,                0.61348,                 1.0199,                0.84616,                0.87879,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.0739,                0.69093,                0.96163,                0.68581,                0.84505,                0.75714,                0.53069,                 1.0555,                 1.0001,                0.89296,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.0712,                0.76517,                0.98317,                0.71877,                0.77524,                0.80963,                0.57215,                 1.0557,                 1.0757,                0.90118,             0.00079238,             0.00079238,             0.00079238
                     47,                  1.067,                0.74572,                0.96526,                0.73887,                0.70958,                 0.8102,                0.59089,                0.99401,                0.99384,                0.88879,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.0376,                0.73471,                0.95214,                0.73887,                0.70958,                 0.8102,                0.59089,                0.99401,                0.99384,                0.88879,             0.00076409,             0.00076409,             0.00076409
                     49,                0.96836,                 0.6806,                0.93518,                0.55847,                0.74005,                0.65441,                0.45729,                 1.0332,                0.97846,                0.89455,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.0294,                 0.7145,                 0.9484,                0.67687,                 0.8449,                0.81392,                0.57564,                0.95193,                 0.8683,                0.87456,             0.00073579,             0.00073579,             0.00073579
